,SYMBOL,DELTA,INSTRUMENT,EXPIRY_DT,STRIKE_PR,ENTRYPRICE,SPOTPRICE,EXITPRICE,LOTSIZE,CONTRACTVALUE_FOR_1LOT,20%MARGIN_1LOT,Number_of_Lots,B/S,MARGINAMOUNT,ENTRYVALUE,EXITVALUE,P/L
76,PVR,0.2979238047610052,OPTSTK,26-May-2022,2000.0,20.75,1730.75,0.0,407,8445.25,1689.0500000000002,414.0,SHORT,699266.7000000001,3496333.5,0.0,3496333.5
77,RBLBANK,0.44754510617328486,OPTSTK,26-May-2022,130.0,3.4,111.4,0.0,5000,17000.0,3400.0,206.0,SHORT,700400.0,3502000.0,0.0,3502000.0
78,RELIANCE,0.21282787141562587,OPTSTK,26-May-2022,3020.0,25.1,2587.1,0.0,250,6275.0,1255.0,558.0,SHORT,700290.0,3501450.0,0.0,3501450.0
79,SAIL,0.40620131665666204,OPTSTK,26-May-2022,105.0,2.05,73.65,0.0,6000,12299.999999999998,2460.0,285.0,SHORT,701100.0,3505499.9999999995,0.0,3505499.9999999995
80,SBICARD,0.26458631801448745,OPTSTK,26-May-2022,890.0,10.0,756.6,0.0,800,8000.0,1600.0,438.0,SHORT,700800.0,3504000.0,0.0,3504000.0
81,SBILIFE,0.19572400206898094,OPTSTK,26-May-2022,1200.0,9.05,1105.35,0.0,750,6787.500000000001,1357.5000000000002,516.0,SHORT,700470.0000000001,3502350.0000000005,0.0,3502350.0000000005
82,SBIN,0.2366785996649851,OPTSTK,26-May-2022,555.0,3.15,468.9,0.0,1500,4725.0,945.0,741.0,SHORT,700245.0,3501225.0,0.0,3501225.0
83,SRF,0.26433522295115564,OPTSTK,26-May-2022,2820.0,16.65,2270.7,0.0,375,6243.749999999999,1248.75,561.0,SHORT,700548.75,3502743.7499999995,0.0,3502743.7499999995
84,SUNPHARMA,0.19515784445432233,OPTSTK,26-May-2022,1000.0,8.15,899.95,0.0,700,5705.0,1141.0,613.0,SHORT,699433.0,3497165.0,0.0,3497165.0
85,TATACHEM,0.30426330156361736,OPTSTK,26-May-2022,1030.0,10.7,932.25,0.0,1000,10700.0,2140.0,327.0,SHORT,699780.0,3498900.0,0.0,3498900.0
86,TATACOMM,0.37746264487551084,OPTSTK,26-May-2022,1200.0,17.35,943.55,0.0,500,8675.0,1735.0,403.0,SHORT,699205.0,3496025.0,0.0,3496025.0
87,TATACONSUM,0.20941472694278845,OPTSTK,26-May-2022,880.0,8.05,722.25,0.0,900,7245.000000000001,1449.0000000000002,483.0,SHORT,699867.0000000001,3499335.0000000005,0.0,3499335.0000000005
88,TATAMOTORS,0.34907694878272144,OPTSTK,26-May-2022,480.0,6.0,420.65,0.0,1425,8550.0,1710.0,409.0,SHORT,699390.0,3496950.0,0.0,3496950.0
89,TATAPOWER,0.40079290430859776,OPTSTK,26-May-2022,260.0,5.65,221.45,0.0,3375,19068.75,3813.75,184.0,SHORT,701730.0,3508650.0,0.0,3508650.0
90,TATASTEEL,0.34629079352686526,OPTSTK,26-May-2022,1400.0,16.2,1052.0,0.0,425,6885.0,1377.0,508.0,SHORT,699516.0,3497580.0,0.0,3497580.0
91,TCS,0.1781097752419596,OPTSTK,26-May-2022,3700.0,30.35,3226.95,0.0,150,4552.5,910.5,769.0,SHORT,700174.5,3500872.5,0.0,3500872.5
92,TECHM,0.2385166209746632,OPTSTK,26-May-2022,1420.0,6.9,1078.6,0.0,600,4140.0,828.0,845.0,SHORT,699660.0,3498300.0,0.0,3498300.0
93,TITAN,0.21209238420756366,OPTSTK,26-May-2022,2680.0,20.45,2141.95,0.0,375,7668.75,1533.75,456.0,SHORT,699390.0,3496950.0,0.0,3496950.0
94,ULTRACEMCO,0.19110031174411396,OPTSTK,26-May-2022,7200.0,53.1,5874.25,0.0,100,5310.0,1062.0,659.0,SHORT,699858.0,3499290.0,0.0,3499290.0
95,UPL,0.20268981110604456,OPTSTK,26-May-2022,960.0,1.9,747.45,0.0,1300,2470.0,494.0,1417.0,SHORT,699998.0,3499990.0,0.0,3499990.0
96,VEDL,0.31040408395640046,OPTSTK,26-May-2022,450.0,4.4,313.05,0.0,1550,6820.000000000001,1364.0000000000002,513.0,SHORT,699732.0000000001,3498660.0000000005,0.0,3498660.0000000005
97,VOLTAS,0.3013679515894226,OPTSTK,26-May-2022,1400.0,11.75,995.85,0.0,500,5875.0,1175.0,596.0,SHORT,700300.0,3501500.0,0.0,3501500.0
98,WIPRO,0.3211351342370239,OPTSTK,26-May-2022,560.0,5.85,453.35,0.0,1000,5850.0,1170.0,598.0,SHORT,699660.0,3498300.0,0.0,3498300.0
99,ZEEL,0.4251660632014779,OPTSTK,26-May-2022,265.0,7.0,229.8,0.0,3000,21000.0,4200.0,167.0,SHORT,701400.0,3507000.0,0.0,3507000.0
100,NIFTY,0.2188328359699243,OPTIDX,26-May-2022,17600.0,141.95,16170.15,0.0,50,7097.499999999999,1419.5,21134.202183867557,BUY,29999712.999999996,149998564.99999997,0.0,-149998564.99999997
