Ticker,Date/Time,Open,Low,High,Close
DMART.EQ-NSE,4/7/20,2090.1,2090.1,2170.25,2170.25
DMART.EQ-NSE,4/8/20,2222,2201.05,2278.75,2278.75
DMART.EQ-NSE,4/9/20,2392.65,2392.65,2392.65,2392.65
DMART.EQ-NSE,4/13/2020,2320,2273.05,2320,2273.05
DMART.EQ-NSE,4/15/2020,2161,2159.4,2320,2180.9
DMART.EQ-NSE,4/16/2020,2151,2104.9,2210,2137.85
DMART.EQ-NSE,4/17/2020,2214,2200,2230,2212.1
DMART.EQ-NSE,4/20/2020,2229.95,2150.05,2285,2256.25
DMART.EQ-NSE,4/21/2020,2200,2199.45,2288.5,2238.2
DMART.EQ-NSE,4/22/2020,2235,2225,2320,2290.05
DMART.EQ-NSE,4/23/2020,2290.05,2290.05,2350,2303.5
DMART.EQ-NSE,4/24/2020,2299.45,2269.45,2346.5,2310.5
DMART.EQ-NSE,4/27/2020,2300,2274,2350,2323.95
DMART.EQ-NSE,4/28/2020,2339,2285,2340,2305.8
DMART.EQ-NSE,4/29/2020,2310,2305.8,2350,2344.35
DMART.EQ-NSE,4/30/2020,2349,2325,2389.75,2383.65
DMART.EQ-NSE,5/4/20,2310.2,2269.95,2345,2281.3
DMART.EQ-NSE,5/5/20,2320,2185.3,2329.95,2198.95
DMART.EQ-NSE,5/6/20,2200,2126.55,2249,2175.6
DMART.EQ-NSE,5/7/20,2180,2144,2210.3,2182.1
DMART.EQ-NSE,5/8/20,2190,2185,2284,2255
DMART.EQ-NSE,5/11/20,2280,2270,2358,2313.55
DMART.EQ-NSE,5/12/20,2320.55,2286.9,2347,2303.35
DMART.EQ-NSE,5/13/2020,2353,2305,2379.95,2352.15
DMART.EQ-NSE,5/14/2020,2344.35,2304,2358,2324.4
DMART.EQ-NSE,5/15/2020,2320,2290.25,2340,2333.8
DMART.EQ-NSE,5/18/2020,2333,2275,2370.8,2306.55
DMART.EQ-NSE,5/19/2020,2341.95,2306,2355.6,2337.5
DMART.EQ-NSE,5/20/2020,2335,2318,2454.35,2454.35
DMART.EQ-NSE,5/21/2020,2452,2375,2519.95,2470.25
DMART.EQ-NSE,5/22/2020,2484.8,2381.5,2518,2398.3
DMART.EQ-NSE,5/26/2020,2339,2278.4,2340,2283.25
DMART.EQ-NSE,5/27/2020,2222.2,2176,2275,2200.2
DMART.EQ-NSE,5/28/2020,2210,2205,2310.2,2308.45
DMART.EQ-NSE,5/29/2020,2330,2229,2358,2269.35
DMART.EQ-NSE,6/1/20,2320.1,2282.65,2328.55,2305.5
